AGE (Labels)	GEO (Labels)	Attribute	Value
Less than 25 years	European Union - 27 countries (from 2020)	2011	0
Less than 25 years	European Union - 27 countries (from 2020)	2012	1
Less than 25 years	European Union - 27 countries (from 2020)	2013	3
Less than 25 years	European Union - 27 countries (from 2020)	2014	2
Less than 25 years	European Union - 27 countries (from 2020)	2015	1
Less than 25 years	European Union - 27 countries (from 2020)	2016	0
Less than 25 years	European Union - 27 countries (from 2020)	2017	2
Less than 25 years	European Union - 27 countries (from 2020)	2018	1
Less than 25 years	European Union - 27 countries (from 2020)	2019	1
Less than 25 years	European Union - 27 countries (from 2020)	2020	1
Less than 25 years	European Union - 28 countries (2013-2020)	2011	0
Less than 25 years	European Union - 28 countries (2013-2020)	2012	2
Less than 25 years	European Union - 28 countries (2013-2020)	2013	3
Less than 25 years	European Union - 28 countries (2013-2020)	2014	2
Less than 25 years	European Union - 28 countries (2013-2020)	2015	1
Less than 25 years	European Union - 28 countries (2013-2020)	2016	0
Less than 25 years	European Union - 28 countries (2013-2020)	2017	2
Less than 25 years	European Union - 28 countries (2013-2020)	2018	1
Less than 25 years	European Union - 28 countries (2013-2020)	2019	:
Less than 25 years	European Union - 28 countries (2013-2020)	2020	:
Less than 25 years	Greece	2011	0
Less than 25 years	Greece	2012	0
Less than 25 years	Greece	2013	0
Less than 25 years	Greece	2014	0
Less than 25 years	Greece	2015	0
Less than 25 years	Greece	2016	0
Less than 25 years	Greece	2017	0
Less than 25 years	Greece	2018	0
Less than 25 years	Greece	2019	0
Less than 25 years	Greece	2020	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2011	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2012	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2013	1
From 25 to 29 years	European Union - 27 countries (from 2020)	2014	3
From 25 to 29 years	European Union - 27 countries (from 2020)	2015	2
From 25 to 29 years	European Union - 27 countries (from 2020)	2016	2
From 25 to 29 years	European Union - 27 countries (from 2020)	2017	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2018	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2019	0
From 25 to 29 years	European Union - 27 countries (from 2020)	2020	2
From 25 to 29 years	European Union - 28 countries (2013-2020)	2011	0
From 25 to 29 years	European Union - 28 countries (2013-2020)	2012	0
From 25 to 29 years	European Union - 28 countries (2013-2020)	2013	1
From 25 to 29 years	European Union - 28 countries (2013-2020)	2014	3
From 25 to 29 years	European Union - 28 countries (2013-2020)	2015	2
From 25 to 29 years	European Union - 28 countries (2013-2020)	2016	2
From 25 to 29 years	European Union - 28 countries (2013-2020)	2017	0
From 25 to 29 years	European Union - 28 countries (2013-2020)	2018	0
From 25 to 29 years	European Union - 28 countries (2013-2020)	2019	:
From 25 to 29 years	European Union - 28 countries (2013-2020)	2020	:
From 25 to 29 years	Greece	2011	0
From 25 to 29 years	Greece	2012	0
From 25 to 29 years	Greece	2013	0
From 25 to 29 years	Greece	2014	0
From 25 to 29 years	Greece	2015	0
From 25 to 29 years	Greece	2016	0
From 25 to 29 years	Greece	2017	0
From 25 to 29 years	Greece	2018	0
From 25 to 29 years	Greece	2019	0
From 25 to 29 years	Greece	2020	0
From 30 to 44 years	European Union - 27 countries (from 2020)	2011	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2012	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2013	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2014	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2015	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2016	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2017	:
From 30 to 44 years	European Union - 27 countries (from 2020)	2018	0
